# 总字数共1,011,623,817字
# 制作： https://github.com/studyzy/imewlconverter/blob/master/参考/6763字频表(基数10亿).xls
"汉字","排名","频次","频率","累计频率"
苻,4955,407,0.000%,99.983%
錾,4956,407,0.000%,99.983%
鼹,4957,406,0.000%,99.983%
埠,4958,405,0.000%,99.983%
阒,4959,405,0.000%,99.983%
笞,4960,404,0.000%,99.983%
豕,4961,402,0.000%,99.983%
耄,4962,401,0.000%,99.983%
撷,4963,400,0.000%,99.983%
箸,4964,400,0.000%,99.983%
椤,4965,399,0.000%,99.983%
痔,4966,399,0.000%,99.983%
篙,4967,399,0.000%,99.983%
菀,4968,398,0.000%,99.983%
嫫,4969,397,0.000%,99.983%
蟋,4970,395,0.000%,99.984%
唁,4971,394,0.000%,99.984%
拮,4972,394,0.000%,99.984%
暝,4973,394,0.000%,99.984%
岿,4974,392,0.000%,99.984%
阕,4975,392,0.000%,99.984%
滁,4976,391,0.000%,99.984%
衢,4977,391,0.000%,99.984%
弁,4978,390,0.000%,99.984%
荇,4979,390,0.000%,99.984%
逶,4980,389,0.000%,99.984%
葆,4981,388,0.000%,99.984%
蚪,4982,388,0.000%,99.984%
喑,4983,386,0.000%,99.984%
蟀,4984,386,0.000%,99.984%
隍,4985,386,0.000%,99.984%
嘁,4986,384,0.000%,99.984%
糸,4987,384,0.000%,99.984%
茕,4988,384,0.000%,99.984%
埙,4989,383,0.000%,99.984%
獭,4990,382,0.000%,99.984%
觥,4991,382,0.000%,99.984%
晗,4992,381,0.000%,99.984%
蝌,4993,380,0.000%,99.984%
俚,4994,379,0.000%,99.984%
掴,4995,379,0.000%,99.984%
磔,4996,379,0.000%,99.985%
墒,4997,378,0.000%,99.985%
搽,4998,378,0.000%,99.985%
滦,4999,377,0.000%,99.985%
姘,5000,376,0.000%,99.985%
泅,5001,376,0.000%,99.985%
湎,5002,375,0.000%,99.985%
螫,5003,375,0.000%,99.985%
娩,5004,374,0.000%,99.985%
涝,5005,373,0.000%,99.985%
笮,5006,373,0.000%,99.985%
饬,5007,373,0.000%,99.985%
菅,5008,372,0.000%,99.985%
肱,5009,371,0.000%,99.985%
闰,5010,371,0.000%,99.985%
骞,5011,370,0.000%,99.985%
徕,5012,368,0.000%,99.985%
讫,5013,366,0.000%,99.985%
傈,5014,363,0.000%,99.985%
汞,5015,363,0.000%,99.985%
蓐,5016,363,0.000%,99.985%
徭,5017,362,0.000%,99.985%
鳝,5018,361,0.000%,99.985%
荟,5019,360,0.000%,99.985%
巯,5020,359,0.000%,99.985%
狎,5021,358,0.000%,99.985%
鲽,5022,358,0.000%,99.985%
璜,5023,356,0.000%,99.985%
铆,5024,356,0.000%,99.986%
剡,5025,354,0.000%,99.986%
猁,5026,354,0.000%,99.986%
柚,5027,353,0.000%,99.986%
耦,5028,353,0.000%,99.986%
逑,5029,353,0.000%,99.986%
捭,5030,352,0.000%,99.986%
脔,5031,351,0.000%,99.986%
汛,5032,350,0.000%,99.986%
哙,5033,347,0.000%,99.986%
铂,5034,347,0.000%,99.986%
挈,5035,346,0.000%,99.986%
绻,5036,346,0.000%,99.986%
跹,5037,346,0.000%,99.986%
琨,5038,345,0.000%,99.986%
铖,5039,345,0.000%,99.986%
炻,5040,342,0.000%,99.986%
珉,5041,342,0.000%,99.986%
癣,5042,342,0.000%,99.986%
颢,5043,338,0.000%,99.986%
裱,5044,337,0.000%,99.986%
蕤,5045,336,0.000%,99.986%
悱,5046,335,0.000%,99.986%
猞,5047,335,0.000%,99.986%
赅,5048,334,0.000%,99.986%
楹,5049,333,0.000%,99.986%
恚,5050,332,0.000%,99.986%
衽,5051,332,0.000%,99.986%
貘,5052,331,0.000%,99.986%
铢,5053,331,0.000%,99.987%
钎,5054,330,0.000%,99.987%
凼,5055,328,0.000%,99.987%
蜉,5056,326,0.000%,99.987%
粕,5057,323,0.000%,99.987%
钿,5058,322,0.000%,99.987%
涞,5059,321,0.000%,99.987%
雩,5060,321,0.000%,99.987%
鲫,5061,321,0.000%,99.987%
傩,5062,320,0.000%,99.987%
莳,5063,320,0.000%,99.987%
仄,5064,319,0.000%,99.987%
斛,5065,317,0.000%,99.987%
珙,5066,317,0.000%,99.987%
纥,5067,317,0.000%,99.987%
筅,5068,315,0.000%,99.987%
胰,5069,315,0.000%,99.987%
荜,5070,315,0.000%,99.987%
焘,5071,314,0.000%,99.987%
怄,5072,313,0.000%,99.987%
栎,5073,313,0.000%,99.987%
洌,5074,313,0.000%,99.987%
觜,5075,313,0.000%,99.987%
瘙,5076,312,0.000%,99.987%
蕲,5077,312,0.000%,99.987%
唿,5078,311,0.000%,99.987%
缳,5079,311,0.000%,99.987%
戕,5080,310,0.000%,99.987%
锝,5081,310,0.000%,99.987%
埂,5082,309,0.000%,99.987%
拊,5083,309,0.000%,99.987%
秆,5084,308,0.000%,99.987%
讦,5085,308,0.000%,99.988%
柑,5086,307,0.000%,99.988%
螈,5087,306,0.000%,99.988%
锌,5088,306,0.000%,99.988%
郗,5089,304,0.000%,99.988%
仵,5090,303,0.000%,99.988%
恽,5091,303,0.000%,99.988%
烊,5092,303,0.000%,99.988%
篁,5093,302,0.000%,99.988%
搴,5094,301,0.000%,99.988%
獍,5095,301,0.000%,99.988%
杷,5096,300,0.000%,99.988%
脍,5097,300,0.000%,99.988%
醴,5098,300,0.000%,99.988%
鹂,5099,300,0.000%,99.988%
孀,5100,298,0.000%,99.988%
邰,5101,297,0.000%,99.988%
郜,5102,297,0.000%,99.988%
纩,5103,296,0.000%,99.988%
骈,5104,295,0.000%,99.988%
堞,5105,294,0.000%,99.988%
鹬,5106,294,0.000%,99.988%
牝,5107,293,0.000%,99.988%
湟,5108,292,0.000%,99.988%
酃,5109,292,0.000%,99.988%
冼,5110,290,0.000%,99.988%
氦,5111,290,0.000%,99.988%
锒,5112,289,0.000%,99.988%
篾,5113,288,0.000%,99.988%
缦,5114,288,0.000%,99.988%
熨,5115,287,0.000%,99.988%
杌,5116,286,0.000%,99.988%
硌,5117,283,0.000%,99.988%
骝,5118,283,0.000%,99.988%
碣,5119,282,0.000%,99.989%
轾,5120,282,0.000%,99.989%
鏊,5121,282,0.000%,99.989%
覃,5122,281,0.000%,99.989%
虻,5123,280,0.000%,99.989%
膂,5124,278,0.000%,99.989%
咴,5125,277,0.000%,99.989%
缟,5126,277,0.000%,99.989%
偬,5127,276,0.000%,99.989%
暾,5128,276,0.000%,99.989%
窨,5129,276,0.000%,99.989%
鼐,5130,276,0.000%,99.989%
帏,5131,275,0.000%,99.989%
洮,5132,275,0.000%,99.989%
胱,5133,275,0.000%,99.989%
铉,5134,275,0.000%,99.989%
鲟,5135,275,0.000%,99.989%
泵,5136,272,0.000%,99.989%
竦,5137,272,0.000%,99.989%
虢,5138,272,0.000%,99.989%
椽,5139,271,0.000%,99.989%
韭,5140,270,0.000%,99.989%
佤,5141,269,0.000%,99.989%
帧,5142,268,0.000%,99.989%
蕨,5143,268,0.000%,99.989%
狯,5144,266,0.000%,99.989%
屐,5145,264,0.000%,99.989%
癯,5146,264,0.000%,99.989%
鳃,5147,264,0.000%,99.989%
苌,5148,262,0.000%,99.989%
侔,5149,260,0.000%,99.989%
腚,5150,260,0.000%,99.989%
腱,5151,260,0.000%,99.989%
圻,5152,259,0.000%,99.989%
灏,5153,257,0.000%,99.989%
痨,5154,257,0.000%,99.989%
眙,5155,257,0.000%,99.989%
竽,5156,257,0.000%,99.989%
缢,5157,257,0.000%,99.990%
辚,5158,257,0.000%,99.990%
髭,5159,255,0.000%,99.990%
尜,5160,253,0.000%,99.990%
趺,5161,253,0.000%,99.990%
茔,5162,252,0.000%,99.990%
蝰,5163,252,0.000%,99.990%
囹,5164,251,0.000%,99.990%
洇,5165,251,0.000%,99.990%
猱,5166,251,0.000%,99.990%
鼋,5167,250,0.000%,99.990%
芫,5168,249,0.000%,99.990%
赍,5169,249,0.000%,99.990%
宥,5170,248,0.000%,99.990%
樘,5171,247,0.000%,99.990%
睇,5172,247,0.000%,99.990%
酶,5173,247,0.000%,99.990%
墉,5174,246,0.000%,99.990%
嘌,5175,245,0.000%,99.990%
罅,5176,245,0.000%,99.990%
赡,5177,245,0.000%,99.990%
镊,5178,245,0.000%,99.990%
椴,5179,244,0.000%,99.990%
彀,5180,243,0.000%,99.990%
洹,5181,243,0.000%,99.990%
盱,5182,243,0.000%,99.990%
噻,5183,242,0.000%,99.990%
旄,5184,242,0.000%,99.990%
犍,5185,242,0.000%,99.990%
庹,5186,241,0.000%,99.990%
欹,5187,240,0.000%,99.990%
珥,5188,240,0.000%,99.990%
钙,5189,240,0.000%,99.990%
吡,5190,239,0.000%,99.990%
撄,5191,239,0.000%,99.990%
狃,5192,239,0.000%,99.990%
裢,5193,239,0.000%,99.990%
镙,5194,239,0.000%,99.990%
圩,5195,238,0.000%,99.990%
铬,5196,238,0.000%,99.990%
馐,5197,238,0.000%,99.990%
峄,5198,237,0.000%,99.991%
馏,5199,237,0.000%,99.991%
搠,5200,236,0.000%,99.991%
炔,5201,236,0.000%,99.991%
踟,5202,236,0.000%,99.991%
鼍,5203,236,0.000%,99.991%
仟,5204,235,0.000%,99.991%
鹌,5205,235,0.000%,99.991%
戡,5206,234,0.000%,99.991%
氯,5207,234,0.000%,99.991%
苫,5208,234,0.000%,99.991%
襦,5209,233,0.000%,99.991%
擀,5210,232,0.000%,99.991%
箴,5211,232,0.000%,99.991%
娈,5212,231,0.000%,99.991%
昃,5213,230,0.000%,99.991%
荛,5214,230,0.000%,99.991%
龈,5215,230,0.000%,99.991%
焖,5216,229,0.000%,99.991%
诤,5217,229,0.000%,99.991%
榛,5218,228,0.000%,99.991%
峤,5219,227,0.000%,99.991%
犰,5220,227,0.000%,99.991%
蟥,5221,227,0.000%,99.991%
蹼,5222,227,0.000%,99.991%
殳,5223,226,0.000%,99.991%
臬,5224,225,0.000%,99.991%
妣,5225,224,0.000%,99.991%
楫,5226,224,0.000%,99.991%
燹,5227,224,0.000%,99.991%
缱,5228,224,0.000%,99.991%
厣,5229,223,0.000%,99.991%
傣,5230,222,0.000%,99.991%
狁,5231,222,0.000%,99.991%
帔,5232,220,0.000%,99.991%
锰,5233,220,0.000%,99.991%
圄,5234,219,0.000%,99.991%
痢,5235,219,0.000%,99.991%
秸,5236,219,0.000%,99.991%
嵯,5237,218,0.000%,99.991%
樨,5238,218,0.000%,99.991%
纡,5239,217,0.000%,99.991%
澧,5240,216,0.000%,99.991%
畲,5241,216,0.000%,99.991%
瘐,5242,216,0.000%,99.991%
腭,5243,216,0.000%,99.992%
瓴,5244,215,0.000%,99.992%
蠹,5245,215,0.000%,99.992%
裣,5246,215,0.000%,99.992%
郓,5247,215,0.000%,99.992%
柞,5248,214,0.000%,99.992%
砦,5249,214,0.000%,99.992%
杼,5250,213,0.000%,99.992%
闼,5251,213,0.000%,99.992%
鞒,5252,212,0.000%,99.992%
纫,5253,211,0.000%,99.992%
芨,5254,211,0.000%,99.992%
蛉,5255,210,0.000%,99.992%
骐,5256,210,0.000%,99.992%
吖,5257,209,0.000%,99.992%
瘿,5258,209,0.000%,99.992%
笳,5259,209,0.000%,99.992%
郧,5260,209,0.000%,99.992%
黟,5261,209,0.000%,99.992%
舛,5262,207,0.000%,99.992%
钾,5263,207,0.000%,99.992%
憷,5264,206,0.000%,99.992%
稞,5265,206,0.000%,99.992%
颏,5266,206,0.000%,99.992%
佚,5267,205,0.000%,99.992%
苡,5268,205,0.000%,99.992%
勐,5269,204,0.000%,99.992%
淖,5270,203,0.000%,99.992%
澍,5271,203,0.000%,99.992%
铰,5272,202,0.000%,99.992%
茴,5273,201,0.000%,99.992%
褡,5274,201,0.000%,99.992%
诜,5275,201,0.000%,99.992%
薨,5276,200,0.000%,99.992%
濉,5277,199,0.000%,99.992%
檫,5278,198,0.000%,99.992%
郇,5279,198,0.000%,99.992%
骘,5280,197,0.000%,99.992%
凫,5281,196,0.000%,99.992%
鹗,5282,196,0.000%,99.992%
垭,5283,195,0.000%,99.992%
罨,5284,193,0.000%,99.992%
邗,5285,193,0.000%,99.992%
钯,5286,193,0.000%,99.992%
搦,5287,192,0.000%,99.992%
荠,5288,192,0.000%,99.992%
喁,5289,191,0.000%,99.992%
枋,5290,191,0.000%,99.992%
浔,5291,191,0.000%,99.992%
煸,5292,191,0.000%,99.993%
矽,5293,191,0.000%,99.993%
苕,5294,191,0.000%,99.993%
謇,5295,191,0.000%,99.993%
垓,5296,190,0.000%,99.993%
沔,5297,190,0.000%,99.993%
粑,5298,190,0.000%,99.993%
蝓,5299,190,0.000%,99.993%
躅,5300,190,0.000%,99.993%
锨,5301,190,0.000%,99.993%
瀣,5302,189,0.000%,99.993%
迓,5303,188,0.000%,99.993%
杓,5304,187,0.000%,99.993%
喈,5305,186,0.000%,99.993%
烷,5306,186,0.000%,99.993%
矾,5307,185,0.000%,99.993%
缁,5308,185,0.000%,99.993%
蜊,5309,185,0.000%,99.993%
陉,5310,185,0.000%,99.993%
堠,5311,184,0.000%,99.993%
鄯,5312,184,0.000%,99.993%
幛,5313,183,0.000%,99.993%
愀,5314,183,0.000%,99.993%
瓤,5315,183,0.000%,99.993%
蕈,5316,183,0.000%,99.993%
踯,5317,183,0.000%,99.993%
鲵,5318,183,0.000%,99.993%
丨,5319,182,0.000%,99.993%
刭,5320,182,0.000%,99.993%
濂,5321,182,0.000%,99.993%
怫,5322,181,0.000%,99.993%
罴,5323,181,0.000%,99.993%
坩,5324,180,0.000%,99.993%
焙,5325,180,0.000%,99.993%
摈,5326,179,0.000%,99.993%
氰,5327,179,0.000%,99.993%
渑,5328,177,0.000%,99.993%
疥,5329,177,0.000%,99.993%
肜,5330,177,0.000%,99.993%
厶,5331,176,0.000%,99.993%
氟,5332,176,0.000%,99.993%
鲰,5333,176,0.000%,99.993%
疟,5334,174,0.000%,99.993%
笫,5335,174,0.000%,99.993%
褰,5336,174,0.000%,99.993%
痼,5337,173,0.000%,99.993%
鲑,5338,173,0.000%,99.993%
黍,5339,173,0.000%,99.993%
沭,5340,172,0.000%,99.993%
缗,5341,171,0.000%,99.993%
菸,5342,171,0.000%,99.993%
悭,5343,170,0.000%,99.993%
疱,5344,170,0.000%,99.993%
衿,5345,170,0.000%,99.993%
氨,5346,169,0.000%,99.993%
艏,5347,169,0.000%,99.993%
裎,5348,169,0.000%,99.994%
孳,5349,168,0.000%,99.994%
庠,5350,168,0.000%,99.994%
旒,5351,168,0.000%,99.994%
栳,5352,168,0.000%,99.994%
茏,5353,168,0.000%,99.994%
阄,5354,168,0.000%,99.994%
亳,5355,167,0.000%,99.994%
卅,5356,167,0.000%,99.994%
媪,5357,167,0.000%,99.994%
艨,5358,167,0.000%,99.994%
邛,5359,167,0.000%,99.994%
麂,5360,167,0.000%,99.994%
尻,5361,166,0.000%,99.994%
樯,5362,166,0.000%,99.994%
豌,5363,166,0.000%,99.994%
踽,5364,166,0.000%,99.994%
鲈,5365,166,0.000%,99.994%
艄,5366,165,0.000%,99.994%
鲶,5367,165,0.000%,99.994%
眭,5368,164,0.000%,99.994%
陂,5369,163,0.000%,99.994%
榉,5370,162,0.000%,99.994%
氖,5371,162,0.000%,99.994%
笏,5372,162,0.000%,99.994%
廪,5373,161,0.000%,99.994%
怛,5374,161,0.000%,99.994%
蚍,5375,161,0.000%,99.994%
铙,5376,161,0.000%,99.994%
殍,5377,160,0.000%,99.994%
泶,5378,160,0.000%,99.994%
淝,5379,160,0.000%,99.994%
菘,5380,160,0.000%,99.994%
蒹,5381,160,0.000%,99.994%
忉,5382,158,0.000%,99.994%
桁,5383,158,0.000%,99.994%
疹,5384,158,0.000%,99.994%
蝣,5385,158,0.000%,99.994%
喱,5386,157,0.000%,99.994%
妊,5387,157,0.000%,99.994%
萑,5388,157,0.000%,99.994%
擘,5389,156,0.000%,99.994%
逋,5390,156,0.000%,99.994%
埚,5391,155,0.000%,99.994%
苒,5392,155,0.000%,99.994%
锗,5393,155,0.000%,99.994%
唢,5394,153,0.000%,99.994%
谰,5395,153,0.000%,99.994%
歙,5396,152,0.000%,99.994%
烯,5397,152,0.000%,99.994%
焯,5398,152,0.000%,99.994%
矬,5399,152,0.000%,99.994%
疽,5400,151,0.000%,99.994%
艟,5401,151,0.000%,99.994%
趸,5402,151,0.000%,99.994%
蹰,5403,151,0.000%,99.994%
眇,5404,150,0.000%,99.994%
荩,5405,150,0.000%,99.994%
縻,5406,149,0.000%,99.994%
亍,5407,148,0.000%,99.994%
佧,5408,147,0.000%,99.994%
叻,5409,147,0.000%,99.994%
箝,5410,147,0.000%,99.994%
趿,5411,147,0.000%,99.994%
勰,5412,146,0.000%,99.995%
嘏,5413,146,0.000%,99.995%
桫,5414,144,0.000%,99.995%
飨,5415,144,0.000%,99.995%
侪,5416,143,0.000%,99.995%
疴,5417,143,0.000%,99.995%
翥,5418,143,0.000%,99.995%
蚝,5419,143,0.000%,99.995%
鲠,5420,143,0.000%,99.995%
雎,5421,142,0.000%,99.995%
毂,5422,141,0.000%,99.995%
茑,5423,141,0.000%,99.995%
觚,5424,141,0.000%,99.995%
阋,5425,141,0.000%,99.995%
洄,5426,140,0.000%,99.995%
焓,5427,140,0.000%,99.995%
跗,5428,140,0.000%,99.995%
猗,5429,139,0.000%,99.995%
胺,5430,139,0.000%,99.995%
鹕,5431,139,0.000%,99.995%
笤,5432,138,0.000%,99.995%
跸,5433,138,0.000%,99.995%
狷,5434,137,0.000%,99.995%
钬,5435,135,0.000%,99.995%
镪,5436,135,0.000%,99.995%
馕,5437,135,0.000%,99.995%
疡,5438,133,0.000%,99.995%
篦,5439,133,0.000%,99.995%
鹈,5440,133,0.000%,99.995%
踅,5441,132,0.000%,99.995%
棼,5442,131,0.000%,99.995%
睾,5443,131,0.000%,99.995%
鹳,5444,131,0.000%,99.995%
漭,5445,130,0.000%,99.995%
烃,5446,130,0.000%,99.995%
瞽,5447,130,0.000%,99.995%
逄,5448,130,0.000%,99.995%
锍,5449,130,0.000%,99.995%
哚,5450,129,0.000%,99.995%
砬,5451,129,0.000%,99.995%
蝥,5452,129,0.000%,99.995%
钲,5453,129,0.000%,99.995%
陟,5454,129,0.000%,99.995%
泷,5455,128,0.000%,99.995%
耋,5456,128,0.000%,99.995%
酮,5457,128,0.000%,99.995%
塄,5458,127,0.000%,99.995%
痫,5459,127,0.000%,99.995%
蚧,5460,127,0.000%,99.995%
埘,5461,126,0.000%,99.995%
枸,5462,126,0.000%,99.995%
柢,5463,126,0.000%,99.995%
潆,5464,126,0.000%,99.995%
笄,5465,126,0.000%,99.995%
醮,5466,126,0.000%,99.995%
彖,5467,125,0.000%,99.995%
稗,5468,125,0.000%,99.995%
窠,5469,125,0.000%,99.995%
萘,5470,125,0.000%,99.995%
郯,5471,125,0.000%,99.995%
掮,5472,124,0.000%,99.995%
尢,5473,123,0.000%,99.995%
鲇,5474,123,0.000%,99.995%
鼙,5475,123,0.000%,99.995%
畦,5476,122,0.000%,99.995%
舸,5477,122,0.000%,99.995%
帑,5478,121,0.000%,99.995%
睃,5479,121,0.000%,99.995%
蚜,5480,121,0.000%,99.995%
溘,5481,120,0.000%,99.995%
蠃,5482,120,0.000%,99.995%
岢,5483,119,0.000%,99.995%
矸,5484,119,0.000%,99.995%
鸱,5485,118,0.000%,99.995%
狳,5486,116,0.000%,99.995%
祜,5487,116,0.000%,99.995%
囟,5488,115,0.000%,99.995%
扦,5489,115,0.000%,99.995%
枥,5490,115,0.000%,99.996%
庾,5491,114,0.000%,99.996%
菔,5492,114,0.000%,99.996%
蟛,5493,114,0.000%,99.996%
嗉,5494,113,0.000%,99.996%
擤,5495,113,0.000%,99.996%
莪,5496,113,0.000%,99.996%
觋,5497,113,0.000%,99.996%
醪,5498,113,0.000%,99.996%
倬,5499,112,0.000%,99.996%
爰,5500,112,0.000%,99.996%
蚰,5501,112,0.000%,99.996%
轳,5502,112,0.000%,99.996%
锱,5503,112,0.000%,99.996%
鬻,5504,112,0.000%,99.996%
鳏,5505,112,0.000%,99.996%
栲,5506,111,0.000%,99.996%
渌,5507,111,0.000%,99.996%
蛄,5508,111,0.000%,99.996%
嬗,5509,110,0.000%,99.996%
谘,5510,110,0.000%,99.996%
鋈,5511,110,0.000%,99.996%
阍,5512,110,0.000%,99.996%
杲,5513,109,0.000%,99.996%
柘,5514,109,0.000%,99.996%
毖,5515,109,0.000%,99.996%
禳,5516,109,0.000%,99.996%
馔,5517,109,0.000%,99.996%
鳐,5518,109,0.000%,99.996%
鳟,5519,109,0.000%,99.996%
耔,5520,108,0.000%,99.996%
辊,5521,108,0.000%,99.996%
镍,5522,108,0.000%,99.996%
侑,5523,107,0.000%,99.996%
娠,5524,107,0.000%,99.996%
槎,5525,107,0.000%,99.996%
芾,5526,107,0.000%,99.996%
豳,5527,107,0.000%,99.996%
钤,5528,107,0.000%,99.996%
锕,5529,107,0.000%,99.996%
孥,5530,106,0.000%,99.996%
綦,5531,106,0.000%,99.996%
锑,5532,106,0.000%,99.996%
洙,5533,105,0.000%,99.996%
榫,5534,104,0.000%,99.996%
疣,5535,104,0.000%,99.996%
砭,5536,104,0.000%,99.996%
筮,5537,104,0.000%,99.996%
酽,5538,104,0.000%,99.996%
愆,5539,103,0.000%,99.996%
栀,5540,103,0.000%,99.996%
耪,5541,103,0.000%,99.996%
薅,5542,103,0.000%,99.996%
蜞,5543,103,0.000%,99.996%
崤,5544,102,0.000%,99.996%
椟,5545,102,0.000%,99.996%
糁,5546,102,0.000%,99.996%
茇,5547,102,0.000%,99.996%
啁,5548,101,0.000%,99.996%
氪,5549,101,0.000%,99.996%
萁,5550,101,0.000%,99.996%
龃,5551,101,0.000%,99.996%
墀,5552,100,0.000%,99.996%
碘,5553,100,0.000%,99.996%
芪,5554,100,0.000%,99.996%
莰,5555,100,0.000%,99.996%
菏,5556,100,0.000%,99.996%
嵊,5557,99,0.000%,99.996%
蛩,5558,99,0.000%,99.996%
鞯,5559,99,0.000%,99.996%
楂,5560,98,0.000%,99.996%
缒,5561,98,0.000%,99.996%
饣,5562,98,0.000%,99.996%
乩,5563,97,0.000%,99.996%
捌,5564,97,0.000%,99.996%
毽,5565,97,0.000%,99.996%
愍,5566,96,0.000%,99.996%
瘢,5567,96,0.000%,99.996%
铋,5568,96,0.000%,99.996%
铧,5569,96,0.000%,99.996%
髋,5570,96,0.000%,99.996%
鹚,5571,96,0.000%,99.996%
儋,5572,95,0.000%,99.996%
奁,5573,95,0.000%,99.996%
樾,5574,95,0.000%,99.996%
滹,5575,95,0.000%,99.996%
穑,5576,95,0.000%,99.996%
茌,5577,95,0.000%,99.996%
骶,5578,95,0.000%,99.996%
刖,5579,94,0.000%,99.996%
嫜,5580,94,0.000%,99.996%
溏,5581,94,0.000%,99.996%
螽,5582,94,0.000%,99.996%
囝,5583,93,0.000%,99.996%
戽,5584,93,0.000%,99.996%
橛,5585,93,0.000%,99.996%
舂,5586,93,0.000%,99.996%
遄,5587,93,0.000%,99.997%
坭,5588,92,0.000%,99.997%
澶,5589,92,0.000%,99.997%
熵,5590,92,0.000%,99.997%
镬,5591,92,0.000%,99.997%
飧,5592,92,0.000%,99.997%
枞,5593,91,0.000%,99.997%
柙,5594,91,0.000%,99.997%
硎,5595,91,0.000%,99.997%
缯,5596,91,0.000%,99.997%
蔌,5597,91,0.000%,99.997%
鲂,5598,91,0.000%,99.997%
冱,5599,90,0.000%,99.997%
岙,5600,90,0.000%,99.997%
殂,5601,90,0.000%,99.997%
艉,5602,90,0.000%,99.997%
蠼,5603,90,0.000%,99.997%
匏,5604,89,0.000%,99.997%
痈,5605,89,0.000%,99.997%
鹾,5606,89,0.000%,99.997%
尕,5607,88,0.000%,99.997%
攮,5608,88,0.000%,99.997%
樗,5609,88,0.000%,99.997%
皲,5610,88,0.000%,99.997%
髡,5611,88,0.000%,99.997%
坻,5612,87,0.000%,99.997%
伧,5613,86,0.000%,99.997%
剀,5614,86,0.000%,99.997%
椐,5615,86,0.000%,99.997%
瓠,5616,86,0.000%,99.997%
讣,5617,86,0.000%,99.997%
髁,5618,86,0.000%,99.997%
龉,5619,86,0.000%,99.997%
彘,5620,85,0.000%,99.997%
棹,5621,85,0.000%,99.997%
疠,5622,85,0.000%,99.997%
薮,5623,85,0.000%,99.997%
隈,5624,85,0.000%,99.997%
龋,5625,85,0.000%,99.997%
朐,5626,84,0.000%,99.997%
橼,5627,84,0.000%,99.997%
芰,5628,84,0.000%,99.997%
圹,5629,83,0.000%,99.997%
敉,5630,83,0.000%,99.997%
暌,5631,83,0.000%,99.997%
饧,5632,83,0.000%,99.997%
泔,5633,82,0.000%,99.997%
赜,5634,82,0.000%,99.997%
黧,5635,82,0.000%,99.997%
筚,5636,81,0.000%,99.997%
蓖,5637,81,0.000%,99.997%
鸬,5638,81,0.000%,99.997%
蚬,5639,80,0.000%,99.997%
醯,5640,80,0.000%,99.997%
钪,5641,80,0.000%,99.997%
餍,5642,80,0.000%,99.997%
鸹,5643,80,0.000%,99.997%
哏,5644,79,0.000%,99.997%
甑,5645,79,0.000%,99.997%
疋,5646,79,0.000%,99.997%
膣,5647,79,0.000%,99.997%
螅,5648,79,0.000%,99.997%
锞,5649,79,0.000%,99.997%
髫,5650,79,0.000%,99.997%
宄,5651,78,0.000%,99.997%
摭,5652,78,0.000%,99.997%
檠,5653,78,0.000%,99.997%
盍,5654,78,0.000%,99.997%
绂,5655,78,0.000%,99.997%
骟,5656,78,0.000%,99.997%
棰,5657,77,0.000%,99.997%
缡,5658,77,0.000%,99.997%
苷,5659,77,0.000%,99.997%
蹁,5660,77,0.000%,99.997%
铗,5661,77,0.000%,99.997%
鞣,5662,77,0.000%,99.997%
圯,5663,76,0.000%,99.997%
涑,5664,76,0.000%,99.997%
箜,5665,76,0.000%,99.997%
芎,5666,76,0.000%,99.997%
蔟,5667,76,0.000%,99.997%
觯,5668,76,0.000%,99.997%
鍪,5669,76,0.000%,99.997%
镟,5670,76,0.000%,99.997%
夤,5671,75,0.000%,99.997%
妫,5672,75,0.000%,99.997%
熘,5673,75,0.000%,99.997%
硼,5674,75,0.000%,99.997%
秫,5675,75,0.000%,99.997%
阏,5676,75,0.000%,99.997%
飑,5677,75,0.000%,99.997%
啭,5678,74,0.000%,99.997%
枳,5679,74,0.000%,99.997%
礅,5680,74,0.000%,99.997%
耨,5681,74,0.000%,99.997%
茭,5682,74,0.000%,99.997%
钡,5683,74,0.000%,99.997%
捩,5684,73,0.000%,99.997%
柁,5685,73,0.000%,99.997%
甯,5686,73,0.000%,99.997%
苴,5687,73,0.000%,99.997%
铊,5688,73,0.000%,99.997%
寤,5689,72,0.000%,99.997%
潍,5690,72,0.000%,99.997%
牖,5691,72,0.000%,99.997%
赀,5692,72,0.000%,99.997%
醚,5693,72,0.000%,99.997%
阈,5694,72,0.000%,99.997%
柽,5695,71,0.000%,99.997%
栌,5696,71,0.000%,99.997%
肄,5697,71,0.000%,99.997%
脘,5698,71,0.000%,99.997%
酎,5699,71,0.000%,99.997%
鲳,5700,71,0.000%,99.997%
柒,5701,70,0.000%,99.997%
浠,5702,70,0.000%,99.997%
蛳,5703,70,0.000%,99.997%
壅,5704,69,0.000%,99.997%
枇,5705,69,0.000%,99.997%
楱,5706,69,0.000%,99.997%
焐,5707,69,0.000%,99.997%
秭,5708,69,0.000%,99.997%
笥,5709,69,0.000%,99.997%
茈,5710,69,0.000%,99.997%
蒌,5711,69,0.000%,99.997%
讴,5712,69,0.000%,99.997%
谵,5713,69,0.000%,99.997%
跏,5714,69,0.000%,99.997%
镆,5715,69,0.000%,99.998%
鬈,5716,69,0.000%,99.998%
怙,5717,68,0.000%,99.998%
枵,5718,68,0.000%,99.998%
痱,5719,68,0.000%,99.998%
膈,5720,68,0.000%,99.998%
卮,5721,67,0.000%,99.998%
