# 数据名: 欧洲赤膀鸭的秋季迁徙模式
标签,经度,纬度,坐标系统,开始时间,结束时间,说明
漈凫,12.97017,49.92883,WGS_84,2009-9-26 23:0:0,2009-9-26 23:0:0,gps
漈凫,13.403,50.1,WGS_84,2009-9-27 5:0:0,2009-9-27 5:0:0,gps
漈凫,13.40117,50.09867,WGS_84,2009-9-27 7:0:0,2009-9-27 7:0:0,gps
漈凫,13.40633,50.096,WGS_84,2009-9-27 18:0:0,2009-9-27 18:0:0,gps
漈凫,13.403,50.09483,WGS_84,2009-9-27 23:0:0,2009-9-27 23:0:0,gps
漈凫,13.406,50.0875,WGS_84,2009-9-28 5:0:0,2009-9-28 5:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-9-28 7:0:0,2009-9-28 7:0:0,gps
漈凫,13.40517,50.08983,WGS_84,2009-9-28 18:0:0,2009-9-28 18:0:0,gps
漈凫,13.405,50.08817,WGS_84,2009-9-28 23:0:0,2009-9-28 23:0:0,gps
漈凫,13.407,50.087,WGS_84,2009-9-29 5:0:0,2009-9-29 5:0:0,gps
漈凫,13.40683,50.08733,WGS_84,2009-9-29 7:0:0,2009-9-29 7:0:0,gps
漈凫,13.40533,50.08783,WGS_84,2009-9-29 18:0:0,2009-9-29 18:0:0,gps
漈凫,13.40517,50.08967,WGS_84,2009-9-29 23:0:0,2009-9-29 23:0:0,gps
漈凫,13.39983,50.0985,WGS_84,2009-9-30 5:0:0,2009-9-30 5:0:0,gps
漈凫,13.3985,50.09783,WGS_84,2009-9-30 7:0:0,2009-9-30 7:0:0,gps
漈凫,13.40533,50.08983,WGS_84,2009-9-30 18:0:0,2009-9-30 18:0:0,gps
漈凫,13.4055,50.0875,WGS_84,2009-9-30 23:0:0,2009-9-30 23:0:0,gps
漈凫,13.40717,50.08733,WGS_84,2009-10-1 6:0:0,2009-10-1 6:0:0,gps
漈凫,13.4015,50.09783,WGS_84,2009-10-1 7:0:0,2009-10-1 7:0:0,gps
漈凫,13.40133,50.096,WGS_84,2009-10-1 9:0:0,2009-10-1 9:0:0,gps
漈凫,13.40117,50.097,WGS_84,2009-10-1 11:0:0,2009-10-1 11:0:0,gps
漈凫,13.4075,50.08767,WGS_84,2009-10-1 17:0:0,2009-10-1 17:0:0,gps
漈凫,13.4055,50.08767,WGS_84,2009-10-1 18:0:0,2009-10-1 18:0:0,gps
漈凫,13.40517,50.08967,WGS_84,2009-10-1 23:0:0,2009-10-1 23:0:0,gps
漈凫,13.40333,50.09917,WGS_84,2009-10-2 6:0:0,2009-10-2 6:0:0,gps
漈凫,13.40067,50.098,WGS_84,2009-10-2 7:0:0,2009-10-2 7:0:0,gps
漈凫,13.40317,50.09583,WGS_84,2009-10-2 9:0:0,2009-10-2 9:0:0,gps
漈凫,13.39867,50.09783,WGS_84,2009-10-2 11:0:0,2009-10-2 11:0:0,gps
漈凫,13.40333,50.09917,WGS_84,2009-10-2 17:0:0,2009-10-2 17:0:0,gps
漈凫,13.4055,50.0875,WGS_84,2009-10-2 18:0:0,2009-10-2 18:0:0,gps
漈凫,13.40567,50.08767,WGS_84,2009-10-2 23:0:0,2009-10-2 23:0:0,gps
漈凫,13.40683,50.08733,WGS_84,2009-10-3 6:0:0,2009-10-3 6:0:0,gps
漈凫,13.401,50.096,WGS_84,2009-10-3 7:0:0,2009-10-3 7:0:0,gps
漈凫,13.39967,50.09767,WGS_84,2009-10-3 9:0:0,2009-10-3 9:0:0,gps
漈凫,13.39867,50.09783,WGS_84,2009-10-3 11:0:0,2009-10-3 11:0:0,gps
漈凫,13.40317,50.09583,WGS_84,2009-10-3 17:0:0,2009-10-3 17:0:0,gps
漈凫,13.40567,50.08783,WGS_84,2009-10-3 18:0:0,2009-10-3 18:0:0,gps
漈凫,13.4055,50.08767,WGS_84,2009-10-3 23:0:0,2009-10-3 23:0:0,gps
漈凫,13.40683,50.08733,WGS_84,2009-10-4 6:0:0,2009-10-4 6:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-4 7:0:0,2009-10-4 7:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-4 9:0:0,2009-10-4 9:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-4 11:0:0,2009-10-4 11:0:0,gps
漈凫,13.40717,50.0875,WGS_84,2009-10-4 17:0:0,2009-10-4 17:0:0,gps
漈凫,13.4055,50.08767,WGS_84,2009-10-4 18:0:0,2009-10-4 18:0:0,gps
漈凫,13.40567,50.08733,WGS_84,2009-10-4 23:0:0,2009-10-4 23:0:0,gps
漈凫,13.40733,50.087,WGS_84,2009-10-5 6:0:0,2009-10-5 6:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-5 7:0:0,2009-10-5 7:0:0,gps
漈凫,13.407,50.087,WGS_84,2009-10-5 9:0:0,2009-10-5 9:0:0,gps
漈凫,13.40717,50.087,WGS_84,2009-10-5 11:0:0,2009-10-5 11:0:0,gps
漈凫,13.40533,50.08783,WGS_84,2009-10-5 17:0:0,2009-10-5 17:0:0,gps
漈凫,13.406,50.0875,WGS_84,2009-10-5 18:0:0,2009-10-5 18:0:0,gps
漈凫,13.40567,50.08767,WGS_84,2009-10-5 23:0:0,2009-10-5 23:0:0,gps
漈凫,13.40767,50.08733,WGS_84,2009-10-6 5:0:0,2009-10-6 5:0:0,gps
漈凫,13.407,50.08717,WGS_84,2009-10-6 6:0:0,2009-10-6 6:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-6 7:0:0,2009-10-6 7:0:0,gps
漈凫,13.40733,50.08733,WGS_84,2009-10-6 9:0:0,2009-10-6 9:0:0,gps
漈凫,13.40683,50.08717,WGS_84,2009-10-6 11:0:0,2009-10-6 11:0:0,gps
漈凫,13.4055,50.0875,WGS_84,2009-10-6 23:0:0,2009-10-6 23:0:0,gps
漈凫,13.4075,50.0875,WGS_84,2009-10-7 5:0:0,2009-10-7 5:0:0,gps
漈凫,13.4075,50.08733,WGS_84,2009-10-7 6:0:0,2009-10-7 6:0:0,gps
漈凫,13.407,50.08733,WGS_84,2009-10-7 7:0:0,2009-10-7 7:0:0,gps
漈凫,13.407,50.087,WGS_84,2009-10-7 9:0:0,2009-10-7 9:0:0,gps
漈凫,13.407,50.08717,WGS_84,2009-10-7 11:0:0,2009-10-7 11:0:0,gps
漈凫,13.4055,50.0875,WGS_84,2009-10-7 23:0:0,2009-10-7 23:0:0,gps
漈凫,13.40683,50.08733,WGS_84,2009-10-8 5:0:0,2009-10-8 5:0:0,gps
漈凫,13.40717,50.087,WGS_84,2009-10-8 6:0:0,2009-10-8 6:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-8 7:0:0,2009-10-8 7:0:0,gps
漈凫,13.40717,50.08717,WGS_84,2009-10-8 9:0:0,2009-10-8 9:0:0,gps
漈凫,13.40717,50.087,WGS_84,2009-10-8 11:0:0,2009-10-8 11:0:0,gps
漈凫,13.40533,50.08783,WGS_84,2009-10-8 23:0:0,2009-10-8 23:0:0,gps
漈凫,13.401,50.09667,WGS_84,2009-10-9 5:0:0,2009-10-9 5:0:0,gps
漈凫,13.40467,50.09617,WGS_84,2009-10-9 6:0:0,2009-10-9 6:0:0,gps
漈凫,13.40533,50.09667,WGS_84,2009-10-9 7:0:0,2009-10-9 7:0:0,gps
漈凫,13.40533,50.09667,WGS_84,2009-10-9 9:0:0,2009-10-9 9:0:0,gps
漈凫,13.40517,50.09667,WGS_84,2009-10-9 11:0:0,2009-10-9 11:0:0,gps
漈凫,13.4055,50.08783,WGS_84,2009-10-9 23:0:0,2009-10-9 23:0:0,gps
漈凫,13.40333,50.09567,WGS_84,2009-10-10 5:0:0,2009-10-10 5:0:0,gps
漈凫,13.40517,50.09633,WGS_84,2009-10-10 6:0:0,2009-10-10 6:0:0,gps
漈凫,13.40267,50.09683,WGS_84,2009-10-10 7:0:0,2009-10-10 7:0:0,gps
漈凫,13.402,50.0965,WGS_84,2009-10-10 9:0:0,2009-10-10 9:0:0,gps
漈凫,13.4005,50.097,WGS_84,2009-10-10 11:0:0,2009-10-10 11:0:0,gps
漈凫,13.40583,50.08783,WGS_84,2009-10-10 23:0:0,2009-10-10 23:0:0,gps
漈凫,13.40617,50.088,WGS_84,2009-10-11 18:0:0,2009-10-11 18:0:0,gps
漈凫,13.7745,49.37633,WGS_84,2009-10-12 18:0:0,2009-10-12 18:0:0,gps
漈凫,16.826,47.66833,WGS_84,2009-10-13 18:0:0,2009-10-13 18:0:0,gps
漈凫,16.80033,47.724,WGS_84,2009-10-14 18:0:0,2009-10-14 18:0:0,gps
漈凫,16.8005,47.724,WGS_84,2009-10-15 18:0:0,2009-10-15 18:0:0,gps
漈凫,16.79017,47.72667,WGS_84,2009-10-16 5:0:0,2009-10-16 5:0:0,gps
漈凫,16.79017,47.72683,WGS_84,2009-10-16 6:0:0,2009-10-16 6:0:0,gps
漈凫,16.79133,47.7315,WGS_84,2009-10-16 11:0:0,2009-10-16 11:0:0,gps
漈凫,16.7915,47.722,WGS_84,2009-10-17 5:0:0,2009-10-17 5:0:0,gps
漈凫,16.79333,47.72917,WGS_84,2009-10-17 6:0:0,2009-10-17 6:0:0,gps
漈凫,16.793,47.72817,WGS_84,2009-10-17 11:0:0,2009-10-17 11:0:0,gps
漈凫,16.793,47.72783,WGS_84,2009-10-18 5:0:0,2009-10-18 5:0:0,gps
漈凫,16.79267,47.72833,WGS_84,2009-10-18 6:0:0,2009-10-18 6:0:0,gps
漈凫,16.793,47.72817,WGS_84,2009-10-18 11:0:0,2009-10-18 11:0:0,gps
漈凫,16.79283,47.72817,WGS_84,2009-10-19 5:0:0,2009-10-19 5:0:0,gps
漈凫,16.79267,47.728,WGS_84,2009-10-19 6:0:0,2009-10-19 6:0:0,gps
漈凫,16.79533,47.72833,WGS_84,2009-10-19 11:0:0,2009-10-19 11:0:0,gps
漈凫,16.79,47.72683,WGS_84,2009-10-20 5:0:0,2009-10-20 5:0:0,gps
漈凫,16.79,47.72683,WGS_84,2009-10-20 6:0:0,2009-10-20 6:0:0,gps
漈凫,16.7915,47.73183,WGS_84,2009-10-20 11:0:0,2009-10-20 11:0:0,gps
漈凫,16.79283,47.72783,WGS_84,2009-10-21 9:0:0,2009-10-21 9:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-10-22 9:0:0,2009-10-22 9:0:0,gps
漈凫,16.68517,47.69133,WGS_84,2009-10-23 9:0:0,2009-10-23 9:0:0,gps
漈凫,16.791,47.73183,WGS_84,2009-10-24 9:0:0,2009-10-24 9:0:0,gps
漈凫,16.76867,47.7315,WGS_84,2009-10-25 9:0:0,2009-10-25 9:0:0,gps
漈凫,16.7685,47.73133,WGS_84,2009-10-26 7:0:0,2009-10-26 7:0:0,gps
漈凫,16.76883,47.7315,WGS_84,2009-10-26 9:0:0,2009-10-26 9:0:0,gps
漈凫,16.769,47.7315,WGS_84,2009-10-26 11:0:0,2009-10-26 11:0:0,gps
漈凫,16.80367,47.7225,WGS_84,2009-10-26 23:0:0,2009-10-26 23:0:0,gps
漈凫,16.7685,47.731,WGS_84,2009-10-27 7:0:0,2009-10-27 7:0:0,gps
漈凫,16.7925,47.72967,WGS_84,2009-10-27 9:0:0,2009-10-27 9:0:0,gps
漈凫,16.7685,47.73117,WGS_84,2009-10-27 11:0:0,2009-10-27 11:0:0,gps
漈凫,16.80233,47.72317,WGS_84,2009-10-27 23:0:0,2009-10-27 23:0:0,gps
漈凫,16.76833,47.7315,WGS_84,2009-10-28 7:0:0,2009-10-28 7:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-10-28 9:0:0,2009-10-28 9:0:0,gps
漈凫,16.80317,47.72283,WGS_84,2009-10-28 23:0:0,2009-10-28 23:0:0,gps
漈凫,16.7685,47.731,WGS_84,2009-10-29 7:0:0,2009-10-29 7:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-10-29 9:0:0,2009-10-29 9:0:0,gps
漈凫,16.76883,47.7315,WGS_84,2009-10-29 11:0:0,2009-10-29 11:0:0,gps
漈凫,16.803,47.7235,WGS_84,2009-10-29 23:0:0,2009-10-29 23:0:0,gps
漈凫,16.769,47.73133,WGS_84,2009-10-30 7:0:0,2009-10-30 7:0:0,gps
漈凫,16.7685,47.73117,WGS_84,2009-10-30 9:0:0,2009-10-30 9:0:0,gps
漈凫,16.76883,47.7315,WGS_84,2009-10-30 11:0:0,2009-10-30 11:0:0,gps
漈凫,16.80183,47.72417,WGS_84,2009-10-30 23:0:0,2009-10-30 23:0:0,gps
漈凫,16.76867,47.73117,WGS_84,2009-10-31 5:0:0,2009-10-31 5:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-10-31 9:0:0,2009-10-31 9:0:0,gps
漈凫,16.769,47.73183,WGS_84,2009-10-31 11:0:0,2009-10-31 11:0:0,gps
漈凫,16.76867,47.73117,WGS_84,2009-10-31 13:0:0,2009-10-31 13:0:0,gps
漈凫,16.796,47.71983,WGS_84,2009-11-1 5:0:0,2009-11-1 5:0:0,gps
漈凫,16.76883,47.73167,WGS_84,2009-11-1 9:0:0,2009-11-1 9:0:0,gps
漈凫,16.76917,47.732,WGS_84,2009-11-1 11:0:0,2009-11-1 11:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-1 13:0:0,2009-11-1 13:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-2 5:0:0,2009-11-2 5:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-2 9:0:0,2009-11-2 9:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-2 11:0:0,2009-11-2 11:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-2 13:0:0,2009-11-2 13:0:0,gps
漈凫,16.80133,47.72433,WGS_84,2009-11-3 5:0:0,2009-11-3 5:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-3 9:0:0,2009-11-3 9:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-3 11:0:0,2009-11-3 11:0:0,gps
漈凫,16.769,47.73183,WGS_84,2009-11-3 13:0:0,2009-11-3 13:0:0,gps
漈凫,16.76883,47.73133,WGS_84,2009-11-4 5:0:0,2009-11-4 5:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-4 9:0:0,2009-11-4 9:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-4 13:0:0,2009-11-4 13:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-5 7:0:0,2009-11-5 7:0:0,gps
漈凫,16.77317,47.73033,WGS_84,2009-11-5 18:0:0,2009-11-5 18:0:0,gps
漈凫,16.76883,47.73133,WGS_84,2009-11-6 7:0:0,2009-11-6 7:0:0,gps
漈凫,16.79983,47.72467,WGS_84,2009-11-6 18:0:0,2009-11-6 18:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-7 7:0:0,2009-11-7 7:0:0,gps
漈凫,16.80033,47.725,WGS_84,2009-11-7 18:0:0,2009-11-7 18:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-8 7:0:0,2009-11-8 7:0:0,gps
漈凫,16.80017,47.72517,WGS_84,2009-11-8 18:0:0,2009-11-8 18:0:0,gps
漈凫,16.76867,47.73117,WGS_84,2009-11-9 7:0:0,2009-11-9 7:0:0,gps
漈凫,16.77217,47.73067,WGS_84,2009-11-9 18:0:0,2009-11-9 18:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-10 9:0:0,2009-11-10 9:0:0,gps
漈凫,16.8005,47.724,WGS_84,2009-11-10 16:0:0,2009-11-10 16:0:0,gps
漈凫,16.79583,47.7285,WGS_84,2009-11-10 17:0:0,2009-11-10 17:0:0,gps
漈凫,16.77083,47.7315,WGS_84,2009-11-11 9:0:0,2009-11-11 9:0:0,gps
漈凫,16.80067,47.72367,WGS_84,2009-11-11 16:0:0,2009-11-11 16:0:0,gps
漈凫,16.80033,47.72367,WGS_84,2009-11-11 17:0:0,2009-11-11 17:0:0,gps
漈凫,16.7685,47.73117,WGS_84,2009-11-12 9:0:0,2009-11-12 9:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-12 16:0:0,2009-11-12 16:0:0,gps
漈凫,16.8005,47.72433,WGS_84,2009-11-12 17:0:0,2009-11-12 17:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-13 9:0:0,2009-11-13 9:0:0,gps
漈凫,16.78683,47.7265,WGS_84,2009-11-13 16:0:0,2009-11-13 16:0:0,gps
漈凫,16.8005,47.724,WGS_84,2009-11-13 17:0:0,2009-11-13 17:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-14 9:0:0,2009-11-14 9:0:0,gps
漈凫,16.80083,47.72367,WGS_84,2009-11-14 16:0:0,2009-11-14 16:0:0,gps
漈凫,16.80067,47.72383,WGS_84,2009-11-14 17:0:0,2009-11-14 17:0:0,gps
漈凫,16.7685,47.73117,WGS_84,2009-11-15 6:0:0,2009-11-15 6:0:0,gps
漈凫,16.72667,47.6875,WGS_84,2009-11-15 16:0:0,2009-11-15 16:0:0,gps
漈凫,16.80067,47.72367,WGS_84,2009-11-15 17:0:0,2009-11-15 17:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-16 6:0:0,2009-11-16 6:0:0,gps
漈凫,16.8,47.72383,WGS_84,2009-11-16 16:0:0,2009-11-16 16:0:0,gps
漈凫,16.80067,47.72383,WGS_84,2009-11-16 17:0:0,2009-11-16 17:0:0,gps
漈凫,16.7685,47.73117,WGS_84,2009-11-17 6:0:0,2009-11-17 6:0:0,gps
漈凫,16.7705,47.7295,WGS_84,2009-11-17 16:0:0,2009-11-17 16:0:0,gps
漈凫,16.80067,47.72383,WGS_84,2009-11-17 17:0:0,2009-11-17 17:0:0,gps
漈凫,16.76867,47.73133,WGS_84,2009-11-18 6:0:0,2009-11-18 6:0:0,gps
漈凫,16.80067,47.724,WGS_84,2009-11-18 16:0:0,2009-11-18 16:0:0,gps
漈凫,16.8005,47.724,WGS_84,2009-11-18 17:0:0,2009-11-18 17:0:0,gps
漈凫,16.77517,47.72983,WGS_84,2009-11-19 6:0:0,2009-11-19 6:0:0,gps
漈凫,16.7375,47.69733,WGS_84,2009-11-19 16:0:0,2009-11-19 16:0:0,gps
漈凫,16.80183,47.72467,WGS_84,2009-11-19 17:0:0,2009-11-19 17:0:0,gps
漈凫,16.80067,47.72483,WGS_84,2009-11-20 5:0:0,2009-11-20 5:0:0,gps
漈凫,16.80317,47.71917,WGS_84,2009-11-21 5:0:0,2009-11-21 5:0:0,gps
漈凫,16.8005,47.72467,WGS_84,2009-11-22 5:0:0,2009-11-22 5:0:0,gps
漈凫,16.80067,47.72483,WGS_84,2009-11-23 5:0:0,2009-11-23 5:0:0,gps
漈凫,16.7995,47.7255,WGS_84,2009-11-24 5:0:0,2009-11-24 5:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-25 7:0:0,2009-11-25 7:0:0,gps
漈凫,16.80083,47.72467,WGS_84,2009-11-25 17:0:0,2009-11-25 17:0:0,gps
漈凫,16.7685,47.73117,WGS_84,2009-11-26 7:0:0,2009-11-26 7:0:0,gps
漈凫,16.80067,47.7245,WGS_84,2009-11-26 17:0:0,2009-11-26 17:0:0,gps
漈凫,16.76883,47.73133,WGS_84,2009-11-27 7:0:0,2009-11-27 7:0:0,gps
漈凫,16.277,47.15067,WGS_84,2009-11-27 17:0:0,2009-11-27 17:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-11-28 7:0:0,2009-11-28 7:0:0,gps
漈凫,16.801,47.72383,WGS_84,2009-11-28 17:0:0,2009-11-28 17:0:0,gps
漈凫,16.76883,47.73133,WGS_84,2009-11-29 7:0:0,2009-11-29 7:0:0,gps
漈凫,16.80083,47.72467,WGS_84,2009-11-29 17:0:0,2009-11-29 17:0:0,gps
漈凫,16.8015,47.72433,WGS_84,2009-11-30 5:0:0,2009-11-30 5:0:0,gps
漈凫,16.77083,47.73133,WGS_84,2009-11-30 11:0:0,2009-11-30 11:0:0,gps
漈凫,16.80383,47.72317,WGS_84,2009-11-30 17:0:0,2009-11-30 17:0:0,gps
漈凫,16.80383,47.723,WGS_84,2009-11-30 18:0:0,2009-11-30 18:0:0,gps
漈凫,16.801,47.72383,WGS_84,2009-11-30 23:0:0,2009-11-30 23:0:0,gps
漈凫,16.80083,47.725,WGS_84,2009-12-1 5:0:0,2009-12-1 5:0:0,gps
漈凫,16.77167,47.731,WGS_84,2009-12-1 11:0:0,2009-12-1 11:0:0,gps
漈凫,16.801,47.72467,WGS_84,2009-12-1 17:0:0,2009-12-1 17:0:0,gps
漈凫,16.801,47.72467,WGS_84,2009-12-1 18:0:0,2009-12-1 18:0:0,gps
漈凫,16.801,47.72517,WGS_84,2009-12-1 23:0:0,2009-12-1 23:0:0,gps
漈凫,16.80083,47.72483,WGS_84,2009-12-2 5:0:0,2009-12-2 5:0:0,gps
漈凫,16.77167,47.731,WGS_84,2009-12-2 11:0:0,2009-12-2 11:0:0,gps
漈凫,16.80067,47.7245,WGS_84,2009-12-2 17:0:0,2009-12-2 17:0:0,gps
漈凫,16.80067,47.72467,WGS_84,2009-12-2 18:0:0,2009-12-2 18:0:0,gps
漈凫,16.80083,47.72467,WGS_84,2009-12-2 23:0:0,2009-12-2 23:0:0,gps
漈凫,16.80083,47.7245,WGS_84,2009-12-3 5:0:0,2009-12-3 5:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-12-3 11:0:0,2009-12-3 11:0:0,gps
漈凫,16.8,47.72433,WGS_84,2009-12-3 17:0:0,2009-12-3 17:0:0,gps
漈凫,16.8,47.72433,WGS_84,2009-12-3 18:0:0,2009-12-3 18:0:0,gps
漈凫,16.80083,47.72383,WGS_84,2009-12-3 23:0:0,2009-12-3 23:0:0,gps
漈凫,16.80067,47.72367,WGS_84,2009-12-4 5:0:0,2009-12-4 5:0:0,gps
漈凫,16.76867,47.73117,WGS_84,2009-12-4 11:0:0,2009-12-4 11:0:0,gps
漈凫,16.8005,47.72383,WGS_84,2009-12-4 17:0:0,2009-12-4 17:0:0,gps
漈凫,16.8005,47.724,WGS_84,2009-12-4 18:0:0,2009-12-4 18:0:0,gps
漈凫,16.76983,47.6855,WGS_84,2009-12-4 23:0:0,2009-12-4 23:0:0,gps
漈凫,16.58733,47.59883,WGS_84,2009-12-5 16:0:0,2009-12-5 16:0:0,gps
漈凫,16.80067,47.72383,WGS_84,2009-12-6 16:0:0,2009-12-6 16:0:0,gps
漈凫,16.80067,47.724,WGS_84,2009-12-7 16:0:0,2009-12-7 16:0:0,gps
漈凫,16.8005,47.724,WGS_84,2009-12-8 16:0:0,2009-12-8 16:0:0,gps
漈凫,16.80083,47.72383,WGS_84,2009-12-9 16:0:0,2009-12-9 16:0:0,gps
漈凫,16.76867,47.73117,WGS_84,2009-12-10 11:0:0,2009-12-10 11:0:0,gps
漈凫,16.76883,47.73117,WGS_84,2009-12-10 13:0:0,2009-12-10 13:0:0,gps
漈凫,16.77067,47.7315,WGS_84,2009-12-12 13:0:0,2009-12-12 13:0:0,gps
漈凫,16.716,47.86,WGS_84,2009-12-12 23:0:0,2009-12-12 23:0:0,gps
漈凫,16.7205,47.86517,WGS_84,2009-12-13 11:0:0,2009-12-13 11:0:0,gps
漈凫,16.721,47.865,WGS_84,2009-12-13 13:0:0,2009-12-13 13:0:0,gps
漈凫,16.71417,47.86,WGS_84,2009-12-13 23:0:0,2009-12-13 23:0:0,gps
漈凫,16.721,47.865,WGS_84,2009-12-14 11:0:0,2009-12-14 11:0:0,gps
漈凫,16.75683,47.71917,WGS_84,2009-12-14 13:0:0,2009-12-14 13:0:0,gps
漈凫,16.71567,47.79133,WGS_84,2009-12-14 23:0:0,2009-12-14 23:0:0,gps
漈凫,11.73,48.2085,WGS_84,2009-7-24 15:0:0,2009-7-24 15:0:0,gps
漈凫,11.72783,48.20733,WGS_84,2009-7-24 21:0:0,2009-7-24 21:0:0,gps
漈凫,11.728,48.208,WGS_84,2009-7-25 6:0:0,2009-7-25 6:0:0,gps
漈凫,11.72983,48.2085,WGS_84,2009-7-25 9:0:0,2009-7-25 9:0:0,gps
漈凫,11.72917,48.20867,WGS_84,2009-7-25 15:0:0,2009-7-25 15:0:0,gps
漈凫,11.728,48.20733,WGS_84,2009-7-25 21:0:0,2009-7-25 21:0:0,gps
漈凫,11.73017,48.20783,WGS_84,2009-7-26 6:0:0,2009-7-26 6:0:0,gps
漈凫,11.72967,48.20817,WGS_84,2009-7-26 15:0:0,2009-7-26 15:0:0,gps
漈凫,11.72817,48.20717,WGS_84,2009-7-26 21:0:0,2009-7-26 21:0:0,gps
漈凫,11.73,48.2085,WGS_84,2009-7-27 6:0:0,2009-7-27 6:0:0,gps
漈凫,11.73017,48.2085,WGS_84,2009-7-27 9:0:0,2009-7-27 9:0:0,gps
漈凫,11.73,48.20817,WGS_84,2009-7-27 15:0:0,2009-7-27 15:0:0,gps
漈凫,11.7285,48.20717,WGS_84,2009-7-27 21:0:0,2009-7-27 21:0:0,gps
漈凫,11.72767,48.20683,WGS_84,2009-7-28 6:0:0,2009-7-28 6:0:0,gps
漈凫,11.72483,48.20833,WGS_84,2009-7-28 9:0:0,2009-7-28 9:0:0,gps
漈凫,11.72433,48.20783,WGS_84,2009-7-28 15:0:0,2009-7-28 15:0:0,gps
漈凫,11.73067,48.20783,WGS_84,2009-7-29 6:0:0,2009-7-29 6:0:0,gps
漈凫,11.73233,48.2095,WGS_84,2009-7-29 15:0:0,2009-7-29 15:0:0,gps
漈凫,11.72867,48.207,WGS_84,2009-7-29 21:0:0,2009-7-29 21:0:0,gps
漈凫,11.7305,48.2085,WGS_84,2009-7-30 6:0:0,2009-7-30 6:0:0,gps
漈凫,11.725,48.20783,WGS_84,2009-7-30 9:0:0,2009-7-30 9:0:0,gps
漈凫,11.73233,48.20933,WGS_84,2009-7-30 15:0:0,2009-7-30 15:0:0,gps
漈凫,11.72817,48.20683,WGS_84,2009-7-30 21:0:0,2009-7-30 21:0:0,gps
漈凫,11.73033,48.2085,WGS_84,2009-7-31 6:0:0,2009-7-31 6:0:0,gps
漈凫,11.73233,48.20933,WGS_84,2009-7-31 9:0:0,2009-7-31 9:0:0,gps
漈凫,11.73483,48.20917,WGS_84,2009-7-31 15:0:0,2009-7-31 15:0:0,gps
漈凫,11.7315,48.208,WGS_84,2009-7-31 21:0:0,2009-7-31 21:0:0,gps
漈凫,11.72983,48.20917,WGS_84,2009-8-1 6:0:0,2009-8-1 6:0:0,gps
漈凫,11.73267,48.209,WGS_84,2009-8-1 9:0:0,2009-8-1 9:0:0,gps
漈凫,11.73517,48.2095,WGS_84,2009-8-1 15:0:0,2009-8-1 15:0:0,gps
漈凫,11.74017,48.21,WGS_84,2009-8-1 21:0:0,2009-8-1 21:0:0,gps
漈凫,11.72833,48.21083,WGS_84,2009-8-2 6:0:0,2009-8-2 6:0:0,gps
漈凫,11.72833,48.2145,WGS_84,2009-8-2 9:0:0,2009-8-2 9:0:0,gps
漈凫,11.712,48.21217,WGS_84,2009-8-2 15:0:0,2009-8-2 15:0:0,gps
漈凫,11.72733,48.211,WGS_84,2009-8-2 21:0:0,2009-8-2 21:0:0,gps
漈凫,11.72867,48.2125,WGS_84,2009-8-3 6:0:0,2009-8-3 6:0:0,gps
漈凫,11.73117,48.2125,WGS_84,2009-8-3 9:0:0,2009-8-3 9:0:0,gps
漈凫,11.73017,48.21433,WGS_84,2009-8-3 15:0:0,2009-8-3 15:0:0,gps
漈凫,11.72817,48.2125,WGS_84,2009-8-3 21:0:0,2009-8-3 21:0:0,gps
漈凫,11.72767,48.215,WGS_84,2009-8-4 6:0:0,2009-8-4 6:0:0,gps
